الشيخوخة المنتجة	老有所为	productive ageing	vieillissement productif	Активная старость	envejecimiento productivo
استنبات الأنسجة	组织培养	tissue culture	culture de tissus	Тканевая культура	cultivo de tejidos
نشر الثقافة	文化传播	culture diffusion	diffusion de la culture	Культурная диффузия	difusion de la cultura
الأمطار الحمضية	酸雨	acid rain	pluie acide	Кислотный дождь	lluvia acida
الأطفال	儿童	children	enfants	Дети	niÑos
الموظفون الطبيون المساعدون	医务辅助人员	paramedical personnel	personnel paramedical	Парамедицинский персонал	personal paramedico
عمالة الشباب	青年就业	youth employment	emploi des jeunes	Трудоустройство молодежи	empleo de los jovenes
الدراسات القطرية	国家研究	country studies	etudes de pays	Страноведение	estudios de paises
مبدأ مونرو	门罗主义	monroe doctrine	doctrine de monroe	Доктрина Монро	doctrina monroe
ميزانية الأسرة	家庭预算	family budget	budget familial	Семейный бюджет	presupuesto familiar
البطاطا الحلوة	甘薯	sweet potatoes	patates douces	Батат	batatas
الحالة في ليبيريا	利比里亚局势	liberia situation	situation au liberia	Положение в Либерии	situacion en liberia
تجارة العقارات	房地产经营业务	real estate business	immobilier	Купля-продажа недвижимости	comercio inmobiliario
الحجر الكلوري	萤石	fluorspar	spath fluor	Плавиковый шпат	espato fluor
ضريبة غير مباشرة	间接税	indirect taxation	imposition indirecte	Косвенное налогообложение	tributacion indirecta
مستشارو الميدان الفنيون	外地技术顾问	technical field advisers	conseillers techniques sur le terrain	Технические консультанты на местах	asesores tecnicos extrasede
قضايا المنازعا ت	诉讼案件  	contentious cases	affaires contentieuses	Спорные дела	casos contenciosos
العقوبات غير السجنية	非监禁式惩罚	non-custodial sanctions	sanctions non privatives de liberte	Санкции, не связанные с лишением свободы	sanciones no privativas de la libertad
مسألة تيمور الشرقية	东帝汶问题	east timor question	question du timor oriental	Вопрос о Восточном Тиморе	cuestion de timor oriental
المنسوجات	纺织品	textiles	textiles	Текстильные изделия	productos textiles
الأزمة الاقتصادية	经济危机	economic crisis	crise economique	Экономический кризис	crisis economica
مكنات النجارة	木工机械	woodworking machinery	machines a bois	Деревообрабатывающее оборудование	maquinaria para trabajar la madera
كيمياء التربة	土壤化学	soil chemistry	chimie des sols	Химия почв	quimica de suelos
الملكية الأدبية والفنية	文学艺术产权	literary and artistic property	propriete litteraire et artistique	Литературная и художественная собственность	propiedad literaria y artistica
المساواة بين الدول	国家平等	equality of states	egalite des etats	Равенство государств	igualdad de los estados
المنظمات الحكومية الدولية	政府间组织	intergovernmental organizations	organisations intergouvernementales	Межправительственные организации	organizaciones intergubernamentales
العاملون في القطاع العلمي	科技工作者	scientific personnel	personnel scientifique	Научные работники	personal cientifico
داء البلهارسيا	血吸虫病	schistosomiasis	schistosomiase	Шистозомоз	esquistosomiasis
النظام الجنائي لإصلاح الأحداث	少年管教	juvenile corrections	systeme penal pour mineurs	Исправительные наказания для несовершеннолетних	sistema correccional de menores
التجارة بين الشرق والجنوب	东南贸易	east-south trade	commerce est-sud	Торговля между Востоком и Югом	comercio este-sur
الموظف الفني الوطني	本国专业人员	national professional staff	administrateurs recrutes sur le plan national	Персонал категории национальных сотрудников-специалисты	funcionarios nacionales del cuadro organico
السحر	巫术	witchcraft	sorcellerie	Колдовство	brujeria
المنظمات الإقليمية	区域组织	regional organizations	organisations regionales	Региональные организации	organizaciones regionales
الأصول غير المالية	非金融资产	non-financial assets	actifs non financiers	Нефинансовые активы	activos no financieros
الإعلانات (نص)	宣言  （文本	declarations (text)	declarations (texte)	Декларации и заявления (текст)	declaraciones (texto)
اللاجئون الأثيوبيون	埃塞俄比亚难民	ethiopian refugees	refugies ethiopiens	Эфиопские беженцы	refugiados etiopes
الشراكة بين القطاعين العام والخاص	公共部门和私营部门之间的合作	public-private partnerships	partenariats public-prive	Государственно-частные партнерства	alianzas publico-privadas
دورة وقود اليورانيوم والبلوتونيوم	铀-钚燃料循环	uranium-plutonium fuel cycle	cycle du combustible uranium-plutonium	Уран-плутониевый топливный цикл	ciclo del combustible uranio-plutonio
العلوم النووية	核科学	nuclear science	science nucleaire	Ядерная наука	ciencia nuclear
تلوث الهواء عبر الحدود	越境空气污染	transboundary air pollution	pollution atmospherique transfrontiere	Трансграничное загрязнение воздуха	contaminacion transfronteriza del aire
القيم الثقافية	文化价值	cultural values	valeurs culturelles	Культурные ценности (в культурологии)	valores culturales
الإثيوبيون	埃塞俄比亚人	ethiopians	ethiopiens	Эфиопы	etiopes
من (أو تابع لـ) موناكو	摩纳哥人	monegasques	monegasques	Монакцы	monegascos
اللغة الأيرلندية	爱尔兰语	irish language	langue irlandaise	Ирландский язык	lengua irlandesa
الإقراض الزراعي	农业信用	agricultural credit	credit agricole	Сельскохозяйственный кредит	credito agricola
الوكالة	机构	agency	representation commerciale	Представительство (в гражданском праве)	mandato y representacion comerciales
صناعة ورق الصحف	新闻纸工业	newsprint industry	industrie de la presse	Газетное производство	industria de la prensa
البطاقة المجهرية	缩微胶片	microfiche	microfiches	Микрофиша	microfichas
إجراءات المتابعة	后续行动程序	follow-up procedures	procedures de suivi	Процедуры контроля исполнения	procedimientos de seguimiento
الاقتران غير الشرعي	同居	consensual union	union consensuelle	Фактический брак	union consensual
المركبات الثقيلة	重型车辆	heavy duty vehicles	vehicules lourds	Автомобили большой грузоподъемности	vehiculos para carga pesada
الحرب الكيميائية والبيولوجية	化学和生物战争	chemical and biological warfare	guerre chimique et biologique	Химическая и биологическая война	guerra quimica y biologica
الدولارات البترولية	石油美元	petrodollars	petrodollars	Нефтедоллары	petrodolares
صناعة الصوف	羊毛行业	wool industry	industrie de la laine	Шерстяная промышленность	industria de la lana
الجبر	代数	algebra	algebre	Алгебра	algebra
الشابات	青年妇女	young women	jeunes femmes	Девушки	mujeres jovenes
موناكو	摩纳哥	monaco	monaco	Монако	monaco
الزراعة النووية	核心农业	nuclear agriculture	agriculture nucleaire	Сельскохозяйственная радиология	agricultura nuclear
الصناعة الحرجية	林业	forestry industry	industrie forestiere	Лесная промышленность	industria forestal
موريتانيا	毛里塔尼亚	mauritania	mauritanie	Мавритания	mauritania
اختيار القانون	法律选择	choice of law	choix de la loi applicable	Выбор права	eleccion de la ley aplicable
القانون الروماني الهولندي	罗马-荷兰法	roman-dutch law	droit romain-neerlandais	Римско-голландское право	derecho romano-holandes
الشوفان	燕麦	oats	avoine	Овес	avena
الميثاكوالون	甲喹酮(安眠酮	methaqualone	methaqualone	Метаквалон	metaqualona
القانون العام	习惯法	common law	common law	Общее право	common law
بروني دار السلام	文莱达鲁萨兰国	brunei darussalam	brunei darussalam	Бруней-Даруссалам	brunei darussalam
الإجازة المرضية	病假	sick leave	conge de maladie	Отпуск по болезни	licencia de enfermedad
الدول الساحلية	沿海国	coastal states	etats cotiers	Прибрежные государства	estados ribereÑos
التجميع الخارجي	国外装配工业	offshore assembly	operations de montage a l'etranger	Сборка за рубежом	industria maquiladora
اللغة العبرية	希伯来语	hebrew language	langue hebraique	Иврит	lengua hebrea
الألبانيون	阿尔巴尼亚人	albanians	albanais	Албанцы	albaneses
فيزياء التربة	土壤物理学	soil physics	physique des sols	Физика почв	fisica de suelos
نظم المعلومات الإدارية	管理信息系统	management information systems	systemes d'information de gestion	Управленческие информационные системы	sistemas de informacion administrativa
إدارة المناطق الساحلية	沿海区管理	coastal zone management	amenagement des zones cotieres	Обустройство прибрежной зоны	desarrollo de zonas costeras
تكنولوجيا الخصوبة البشرية	人类生殖技术	human reproductive technology	technologie en reproduction humaine	Технология размножения человека	tecnologia de reproduccion humana
المعلومات العلمية والتقنية	科学和技术信息	scientific and technical information	information scientifique et technique	Научно-техническая информация	informacion cientifica y tecnica
الخدمات الإحصائية	统计服务	statistical services	services statistiques	Статистические услуги	servicios estadisticos
قيود الاستيراد	进口限制	import restrictions	restrictions a l'importation	Импортные ограничения	restricciones a la importacion
إبادة المحاصيل	作物铲除	crop eradication	eradication de cultures	Ликвидация посевов	erradicacion de cultivos
السكان المستهدفون	对象人口	target population	population cible	Целевой контингент	poblacion objetivo
الشتاء النووي	核冬天	nuclear winter	hiver nucleaire	Ядерная зима	invierno nuclear
أسيتات الفينيل	单体醋酸乙烯酯	vinyl acetate monomer	acetate de vinyle monomere	Винилацетат-мономер	acetato de vinilo monomero
طريقة دلفي	德尔菲法	delphi method	methode delphi	Дельфийский метод	metodo delphi
الشهادة	证词	testimony	temoignage	Свидетельские показания	testimonio
الجراد	蝗虫	locusts	acridiens	Саранча	langostas
الجدارية	壁画	murals	peintures murales	Стенные росписи	murales
وحدات عرض البصرية	显示器	visual display units	unites d'affichage	Устройства визуального отображения	unidades de visualizacion
التشعيع	辐照	irradiation	irradiation	Облучение	irradiacion
التفاوتات الإقليمية	区域差别	regional disparities	disparites regionales	Региональные диспропорции	desigualdades regionales
اللغة البوسنية	波斯尼亚语言	bosnian language	langue bosniaque	Боснийский язык	lengua bosnia
دراسات المستقبل	未来研究	future studies	prospective	Футурология	estudios futuros
اللغة الماندينغوية	曼丁戈语	mandingo language	langue mandingue	Язык мандинго	lengua mandinga
الصوربيون	文德人	sorbs	sorabes	Лужичане	sorbos
الحق في السلام	享有和平的权利	right to peace	droit a la paix	Право на мир	derecho a la paz
المواد الجديدة	新材料	new materials	nouveaux materiaux	Новые материалы	nuevos materiales
مراكز البحث	研究中心	research centres	centres de recherche	Исследовательские центры	centros de investigacion
استهلاك الأغذية	粮食消费	food consumption	consommation alimentaire	Потребление пищи	consumo de alimentos
خدمات الأرصاد الجوية	气象服务	meteorology services	services de meteorologie	Метеорологические службы	servicios meteorologicos
تعقب السواتل	卫星跟踪	satellite tracking	poursuite de satellite	Слежение за спутниками	rastreo de satelites
تحسن التربة	土壤改良	soil improvement	amelioration des sols	Мелиорация	mejoramiento de suelos
المياه الجوفية	地下水	groundwater	eau souterraine	Подземные воды	agua subterranea
إحصاءات توزيع الدخل	收入分配统计	income distribution statistics	statistiques de repartition du revenu	Статистика распределения доходов	estadisticas de la distribucion del ingreso
آبار الغاز	气井	gas wells	puits de gaz	Газовые скважины	pozos de gas
صنع السلام	建立和平	peacemaking	retablissement de la paix	Миротворчество	establecimiento de la paz
اللغة الويلزية	威尔士语	welsh language	langue galloise	Валлийский язык	lengua galesa
تنفيذ البرامج	方案执行情况	programme implementation	execution des programmes	Осуществление программ	ejecucion de programas
التاريخ الديمغرافي	人口历史	demographic history	histoire demographique	Демографическая история	historia demografica
التاريخ السياسي	政治历史学	political history	histoire politique	Политическая история	historia politica
نترات السيليولوز	硝化纤维素	nitrocellulose	nitrocellulose	Нитроцеллюлоза	nitrocelulosa
أوروغواي	乌拉圭	uruguay	uruguay	Уругвай	uruguay
التاريخ الطبيعي	自然历史	natural history	histoire naturelle	Природоведение	historia natural
أمراض الغدد الصماء	内分泌疾病	endocrine diseases	maladies endocriniennes	Эндокринные болезни	enfermedades endocrinas
الحوادث النووية	核事故	nuclear accidents	accidents nucleaires	Ядерные аварии	accidentes nucleares
أفران الكوك	炼焦炉	coke ovens	fours a coke	Коксовые печи	hornos de coque
العينات التشخيصية	诊断样品	diagnostic specimens	echantillons de diagnostic	Диагностические пробы	especimenes de diagnostico
تحديد التبعة	责任限制	limitation of liability	limitation de responsabilite	Ограничение ответственности	limitacion de la responsabilidad
جمهورية تنزانيا المتحدة	坦桑尼亚联合共和国	united republic of tanzania	republique-unie de tanzanie	Объединенная Республика Танзания	republica unida de tanzania
جنوب أفريقيا	南非	south africa	afrique du sud	Южная Африка	sudafrica
الميزانيات العسكرية	军事预算	military budgets	budgets militaires	Военные бюджеты	presupuestos militares
التحكيم	仲裁 	arbitration	arbitrage	Арбитраж (в праве)	arbitraje
آثار الإشعاع	辐射效应	radiation effects	effets des rayonnements	Действие излучения	efectos de la radiacion
معاشات التقاعد العسكرية	军队养恤金	military pensions	pensions militaires	Пенсии военнослужащим	pensiones militares
عزل الكربون	碳吸收(量) 	carbon sequestration	fixation du carbon	Поглощение углерода	captura de carbono
السياسة المالية	财政政策	fiscal policy	politique fiscale	Фискальная политика	politica fiscal
النيوزيلنديون	新西兰人	new zealanders	neo-zelandais	Новозеландцы	neozelandeses
القمح	小麦	wheat	ble	Пшеница	trigo
الركود التضخمي	滞涨	stagflation	stagflation	Стагфляция	estanflacion
الاعتماد على الذات	自力更生	self-reliance	autosuffisance	Самообеспечение	autosuficiencia
السلامة النووية	核安全	nuclear safety	securite nucleaire	Ядерная безопасность	seguridad nuclear
التحويل (أو التحول) إلى القطاع الخاص	私有化	privatization	privatisation	Приватизация	privatizacion
تسجيل المواليد	出生报告	birth reporting	declaration des naissances	Учет рождаемости	declaracion de nacimientos
الطوائف	教派	sects	sectes	Секты	sectas
مسح الموارد الطبيعية	自然资源调查	natural resources surveys	etudes des ressources naturelles	Учет природных ресурсов	estudios de recursos naturales
المنغوليون	蒙古人	mongolians	mongols	Монголы	mongoles
الأوقيانوغرافيون	海洋学家	oceanographers	oceanographes	Океанографы	oceanografos
محاضر الجلسات	会议记录	meeting records	comptes rendus de seances	Протоколы заседаний	actas de sesiones
خزانات الوقود	油箱	fuel tanks	reservoirs de carburant	Топливные баки	depositos de combustible
الأمراض السارية	传染病	communicable diseases	maladies contagieuses	Заразные болезни	enfermedades transmisibles
اللغات الجرمانية	日耳曼族语	germanic languages	langues germaniques	Германские языки	lenguas germanicas
القذائف الموجهة	导弹	guided missiles	missiles guides	Управляемые ракеты	misiles dirigidos
الدراسات الآسيوية	亚洲研究	asian studies	etudes asiatiques	Востоковедение	estudios asiaticos
تثبيت الأسعار	物价稳定	price stabilization	stabilisation des prix	Стабилизация цен	estabilizacion de precios
المشمش	杏	apricots	abricots	Абрикосы	albaricoques
التكنولوجيا التقليدية	传统技术	traditional technology	technologie traditionnelle	Традиционные технологии	tecnologia tradicional
العولمة	全球化	globalization	mondialisation	Глобализация	globalizacion
النفط	石油	petroleum	petrole	Нефть	petroleo
التبادل الإيوني	离子交换	ion exchange	echange ionique	Ионный обмен	intercambio ionico
الائتمان المصغر	微额信贷	microcredit	microcredit	Микрокредит	microcredito
الموجز	即决处决	summary executions	executions sommaires	Суммарные казни	ejecuciones sumarias
تلوث المياه عبر الحدود	越境水污染	transboundary water pollution	pollution transfrontiere de l'eau	Трансграничное загрязнение воды	contaminacion transfronteriza del agua
الدفاع (الإجراءات الجنائية)	被告方	defence (criminal procedure)	defense (procedure criminelle)	Защита (в уголовном процессе)	defensa (procedimiento penal)
خدمات المعلومات في المكتبات	图书馆信息服务	library information services	services d'information des bibliotheques	Библиотечно-информационные службы	servicios de informacion de bibliotecas
الموجودات	存货清单	inventories	inventaires	Товарно-материальные запасы	inventarios
السجن	监禁	imprisonment	emprisonnement	Тюремное заключение	encarcelamiento
التدهور البيئي	环境退化	environmental degradation	degradation de l'environnement	Деградация окружающей среды	deterioro ambiental
الاستبيانات	问题单	questionnaires	questionnaires	Анкеты	cuestionarios
الإطارات	轮胎	tires	pneumatiques	Шины	neumaticos
المزايا للشيخوخة	老龄福利	old age benefits	prestations de vieillesse	Пособия по старости	subsidios de vejez
التقييم الجمركي	海关估价	customs valuation	valeur en douane	Таможенная оценка	valuacion aduanera
التحلل الإحيائي	生物降解	biodegradation	biodegradation	Биологическое разложение	biodegradacion
التنمية البشرية	人类发展	human development	developpement humain	Развитие человеческого потенциала	desarrollo humano
العلاقات بين بلدان الجنوب	南南关系	south-south relations	relations sud-sud	Отношения между странами Юга	relaciones sur-sur
الصناعة الفضائية الجوية	航空航天工业	aerospace industry	industrie aerospatiale	Авиационно-космическая промышленность	industria aeroespacial
قانون الشركات	公司法	corporation law	droit des societes	Корпоративное право	derecho de sociedades
الوثائق	文件	documents	documents	Документы	documentos
توظيف الزوج	配偶就业	spouse employment	emploi du conjoint	Трудоустройство супругов	empleo del conyuge
دفع المركبات الفضائية	航天飞船推进	spacecraft propulsion	propulsion spatiale	Двигатели космических аппаратов	propulsion de vehiculos espaciales
تمويل المشروع	项目财务	project finance	financement de projet	Проектное финансирование	financiacion de proyectos
منطقة بحر البلطيق	波罗的海区域	baltic sea region	region de la mer baltique	Балтийский регион	region del mar baltico
تخفيف عبء الدين	减免债务	debt relief	allegement de la dette	Облегчение задолженности	alivio de la deuda
مراقبة الحركة الجوية	空中交通管制	air traffic control	controle de la circulation aerienne	Управление воздушным движением	control del trafico aereo
الاتصال الثقافي المتبادل	不同文化间交流	intercultural communication	communication interculturelle	Межкультурная коммуникация	comunicacion intercultural
ديون الأسر المعيشية	家庭债务	household debt	endettement des menages	Задолженность домохозяйств	deuda domestica
الغيانيون	圭亚那人 	guyanese	guyaniens	Гайанцы	guyaneses
أسواق الأوراق المالية الآجلة	金融期货市场	financial futures markets	marche a terme d'instruments financiers	Рынки финансовых фьючерсов	mercado de instrumentos financieros de futuros
الجمهورية التشيكية	捷克共和国	czech republic	republique tcheque	Чешская Республика	republica checa
البغاء	卖淫	prostitution	prostitution	Проституция	prostitucion
الزراعة الحرجية	农林	agroforestry	agroforesterie	Агролесомелиорация	agrosilvicultura
المسألة الإندونيسية	印度尼西亚问题	indonesian question	question de l'indonesie	Индонезийский вопрос	cuestion de indonesia
المنتزهات والمحميات الوطنية	国家公园和保留区	national parks and reserves	parcs et reserves nationaux	Национальные парки и заповедники	parques y reservas nacionales
الدمج	同化	assimilation	assimilation	Ассимиляция	asimilacion
الجهاد	圣战	jihad	djihad	Джихад	jihad
ركاز الحديد	铁矿	iron ore	minerai de fer	Железная руда	mineral de hierro
اللغة الغيلية	盖尔语	gaelic languages	langues gaeliques	Кельтские языки	lenguas gaelicas
القوات المسلحة	武装部队	armed forces	forces armees	Вооруженные силы	fuerzas armadas
العلاقات الثقافية	文化关系	cultural relations	relations culturelles	Культурные связи	relaciones culturales
الأشخاص (القانون)	法人（法律）	persons (law)	personnes juridiques	Лица (в праве)	personas (derecho)
التقارير الدورية	定期报告	periodic reports	rapports periodiques	Периодические отчеты	informes periodicos
ضريبة الأراضي	土地税	land tax	impot foncier	Земельный налог	impuesto a la tierra
الخشب المداري	热带木材	tropical timber	bois tropical	Тропическая древесина	maderas tropicales
الحركة المسكونية	普世教会运动	ecumenical movement	mouvement oecumenique	Экуменическое движение	movimiento ecumenico
إعادة التدوير	回收利用	recycling	recyclage	Реутилизация	reciclaje
الدول الأرخبيلية	群岛国	archipelagic states	etats archipels	Государства-архипелаги	estados archipelagicos
الزجاج	镶玻璃	glazing	vitres	Остекление	vidriado
الاستفتاءات العامة	全民投票	plebiscites	plebiscites	Плебисциты	plebiscitos
إدارة المخاطر (أو الأخطار)	风险管理	risk management	gestion du risque	Управление риском	gestion de los riesgos
التخلص من النفايات عبر الحدود	越境废物处置	transboundary waste disposal	elimination transfrontiere des dechets	Трансграничное удаление отходов	eliminacion transfronteriza de desechos
السلامة الكيميائية	化学安全	chemical safety	securite chimique	Химическая безопасность	seguridad quimica
البيروقراطية	官僚政治	bureaucracy	bureaucratie	Бюрократия	burocracia
القوات النووية متوسطة المدى	中程核力量	intermediate range nuclear forces	forces nucleaires a portee intermediaire	Ядерные силы средней дальности	fuerzas nucleares de alcance intermedio
الهيكل الاقتصادي	经济结构	economic structure	structure economique	Экономическая структура	estructura economica
صراع الأجيال	代沟	conflict of generations	conflit de generations	Конфликт поколений	conflicto generacional
المحاكم الشرعية	伊斯兰法院	islamic courts	tribunaux islamiques	Мусульманские суды	tribunales islamicos
الاتفاقات التنفيذية	行政协定	executive agreements	accords executifs	Соглашения, заключаемые исполнительной властью	acuerdos del ejecutivo
الحراك الاجتماعي	社会流动性	social mobility	mobilite sociale	Социальная мобильность	movilidad social
الإحصاءات الرياضية	数学统计	mathematical statistics	statistiques mathematiques	Математическая статистика	estadisticas matematicas
الزيوت والمواد الدهنية	油和脂肪	oils and fats	matieres grasses	Масла и жиры	aceites y grasas
تأمين الاستثمار	投资保险	investment insurance	assurance investissement	Страхование инвестиций	seguro de inversiones
المرأة	妇女	women	femmes	Женщины	mujeres
السجناء الأجانب	外籍囚犯	foreign prisoners	prisonniers etrangers	Заключенные-иностранцы	presos extranjeros
العدوان	侵略 	aggression	agression	Агрессия	agresion
بحوث علوم الأرض	地球学研究	earth science research	recherche en sciences de la terre	Землеведческие исследования	investigacion en ciencias de la tierra
المعلومات التجارية	贸易信息	trade information	information commerciale	Торговая информация	informacion comercial
اللغة الألبانية	阿尔巴尼亚语	albanian language	langue albanaise	Албанский язык	lengua albanesa
المتفجرات	爆破器材	explosives	explosifs	Взрывчатые вещества	explosivos
التكييف الاجتماعي السياسي	政治社会化	political socialization	socialisation politique	Политическая социализация	socializacion politica
الموريشيوسيون	毛里求斯人	mauritians	mauriciens	Маврикийцы	mauricianos
التغذية	营养	nutrition	nutrition	Питание	nutricion
التوقعات الزراعية	农业预测	agricultural projections	projections agricoles	Сельскохозяйственные прогнозы	proyecciones agricolas
شبكات الحواسيب	计算机网络	computer networks	reseaux d'ordinateurs	Компьютерные сети	redes de computadoras
صناعة اللحوم	肉类工业	meat industry	industrie de la viande	Мясная промышленность	industria de la carne
الغلاف الجوي العلوي	高层大气	upper atmosphere	haute atmosphere	Верхние слои атмосферы	alta atmosfera
التنبؤ بالعمالة	就业预测	employment forecasting	prevision d'emploi	Прогнозирование занятости	pronosticos de empleo
الحقوق المائية	水权	water rights	propriete des eaux	Права на водные ресурсы	derechos sobre las aguas
الاستثمارات العقارية	房地产投资	real estate investment	investissements immobiliers	Инвестиции в недвижимость	inversiones inmobiliarias
الموسوعات	百科全书	encyclopaedias	encyclopedies	Энциклопедии	enciclopedias
نزع النيترات	脱硝作用	denitrification	denitrification	Денитрификация	desnitrificacion
تلوث جوي عبر القارات	半球空气污染	hemispheric air pollution	pollution atmospherique a l'echelle de l'hemisphere	Загрязнение воздуха в масштабе полушария	contaminacion hemisferica del aire
سياسة النقل الجوي	空运政策	air transport policy	politique du transport aerien	Авиатранспортная политика	politica de transporte aereo
الأسرة الممتدة	大家庭	extended family	famille elargie	Сложная семья	familia extendida
المتفجرات العسكرية	军用火药	military explosives	explosifs militaires	Боевые взрывчатые вещества	explosivos militares
حرية الملاحة	航行自由	freedom of navigation	liberte de navigation	Свобода судоходства	libertad de navegacion
الميتالورجيا الفيزيائية	物理冶金学	physical metallurgy	metallurgie physique	Металловедение	metalurgia fisica
علم الزلازل	地震学	seismology	sismologie	Сейсмология	sismologia
نوعية الهواء	空气质量	air quality	qualite de l'air	Качество воздуха	calidad del aire
خدمات الدعم	支助服务 	support services	services de support	Вспомогательное обслуживание	servicios de apoyo
الدولوميت	白云石	dolomite	dolomite	Доломит	dolomita
الإجراءات القنصلية	领事签证手续	consular formalities	formalites consulaires	Консульские формальности	tramites consulares
انبعاثات محركات المركبات	机动车辆废气排放	motor vehicle emissions	gaz d'echappement des vehicules a moteur	Выбросы автотранспортных средств	emisiones de vehiculos automotores
الموانئ	港口	ports	ports	Порты	puertos
المكانز	叙词表	thesauri	thesauri	Тезаурусы	tesauros
المحاسبة الحكومية	政府会计	government accounting	comptabilite publique	Государственный учет	contabilidad gubernamental
التدابير المضادة (قانون دولي	反措施	countermeasures (international law)	contre-mesures (droit international)	Контрмеры (в международном праве)	contramedidas (derecho internacional)
التلسكوبات	望远镜	telescopes	telescopes	Телескопы	telescopios
لغة المانشو	满语	manchu language	langue mandchoue	Маньчжурский язык	lengua manchu
اللغة الكازاخية	哈萨克语	kazakh language	langue kazakh	Казахский язык	lengua kazaja
المسح الاقتصادي	经济调查	economic surveys	enquetes economiques	Экономические обследования	estudios economicos
المدفوعات غير المشروعة	非法付款	illicit payments	paiements illicites	Незаконные платежи	pagos ilicitos
توقعات ميزان المدفوعات	收支预测	balance of payments projections	projections de la balance des paiements	Прогнозы платежного баланса	proyecciones de la balanza de pagos
القانون الدبلوماسي	外交法律	diplomatic law	droit de la diplomatie	Дипломатическое право	derecho diplomatico
عمليات حفظ السلام	维持和平行动	peacekeeping operations	operations de maintien de la paix	Операции по поддержанию мира	operaciones de mantenimiento de la paz
الوقود السائل	液体燃料	liquid fuels	combustibles liquides	Жидкое топливо	combustibles liquidos
الفنلنديون	芬兰人	finns	finlandais	Финны	finlandeses
المدارس الريفية	农村学校	rural schools	ecoles rurales	Сельские школы	escuelas rurales
الصراع الطبقي	阶级斗争	class struggle	lutte des classes	Классовая борьба	lucha de clases
المنتجات السمكية	渔业生产	fish production	production de poissons	Добыча рыбы	produccion pesquera
استنساخ البشر	克隆人	human cloning	clonage humain	Клонирование человека	clonacion humana
الميكة	云母	mica	mica	Слюда	mica
التقييم	评价	evaluation	evaluation	Оценка	evaluacion
مؤسسات لا تبغي الربح	非营利机构	non-profit corporations	societes a but non lucratif	Некоммерческие организации	empresas sin fines de lucro
الهنغاريون	匈牙利人	hungarians	hongrois	Венгры	hungaros
علم الاقتصاد	经济学	economics	economie	Экономическая теория	economia
آبار النفط	油井	oil wells	puits de petrole	Нефтяные скважины	pozos petroliferos
المكتبات الفنية	技术图书馆	technical libraries	bibliotheques techniques	Технические библиотеки	bibliotecas tecnicas
الموارد غير المتجددة	不可再生资源	non-renewable resources	ressources non renouvelables	Невозобновляемые ресурсы	recursos no renovables
النباتات	植物	plants	plantes	Растения	plantas
الأسلحة النارية	火器	firearms	armes a feu	Стрелковое оружие	armas de fuego
الكوليرا	霍乱	cholera	cholera	Холера	colera
مراقبة الأسعار	物价控制	price controls	controles des prix	Контроль над ценами	controles de precios
إصلاح السجون	监狱改革	prison reform	reforme penitentiaire	Тюремная реформа	reforma de las carceles
جزر البهاما	巴哈马	bahamas	bahamas	Багамские Острова	bahamas
دول خط المواجهة	前线国家	front-line states	etats de premiere ligne	Прифронтовые государства	estados de primera linea
الأتراك	土耳其人 	turks	turcs	Турки	turcos
الوثائق الجمركية	海关文件	customs documents	documents douaniers	Таможенные документы	documentos aduaneros
التبن	稻草	straw	paille	Солома	paja
نوعية التعليم	教育质量	educational quality	qualite de l'education	Качество образования	calidad de la educacion
اللغة اليتوانية	立陶宛语	lithuanian language	langue lithuanienne	Литовский язык	lengua lituana
الأرصاد الجوية للملاحة الجوية	航空气象学	aeronautical meteorology	meteorologie aeronautique	Авиационная метеорология	meteorologia aeronautica
المستشفيات	医院	hospitals	hopitaux	Больницы	hospitales
التهوية	通风	ventilation	ventilation	Вентиляция	ventilacion
العجاص 	梨	pears	poires	Груши	peras
الشركات المنتسبة	联营公司	affiliate corporations	societes sous controle	Аффилированные корпорации	empresas afiliadas
المنتجات المعدنية	金属产品	metal products	produits metalliques	Металлоизделия	productos metalicos
بولينيزيا الفرنسية	法属波利尼西亚	french polynesia	polynesie francaise	Французская Полинезия	polinesia francesa
الأطفال المهاجرون	幼儿移民	child migrants	enfants migrants	Дети-мигранты	niÑos migrantes
الحوادث الصناعية	工业事故	industrial accidents	accidents industriels	Промышленные аварии	accidentes industriales
الاختبار	测试	testing	mise a l'epreuve	Испытания	ensayo
أهداف العلم والتكنولوجيا	科学和技术目标	science and technology objectives	objectifs scientifiques et techniques	Научно-технические задачи	objetivos de ciencia y tecnologia
التسجيلات المقروءة آليا	机器可读记录	machine-readable records	enregistrements lisibles par machine	Машиночитаемые записи	grabaciones legibles por computadora
الصراعات الإقليمية	区域性冲突	regional conflicts	conflits regionaux	Региональные конфликты	conflictos regionales
التنبؤ بالزلازل	地震预报	earthquake prediction	previsions sismiques	Прогнозирование землетрясений	pronosticos de terremotos
خامات النحاس	铜矿砂	copper ore	minerai de cuivre	Медная руда	mineral de cobre
الطمث	月经	menstruation	menstruation	Менструация	menstruacion
التكنولوجيا الخوائية	真空工艺	vacuum technology	technologie du vide	Вакуумная технология	tecnologia del vacio
المركز القانوني	法律地位	legal status	statut juridique	Правовой статус	estatuto juridico
معلومات الأعمال التجارية	商业情报	business information	information sur les entreprises	Деловая информация	informacion sobre empresas
الباسكي	巴斯克人	basques	basques	Баски	vascos
